hostname;ip;versao_atual_completa;versao_para_atualizar;data_coleta;precisa_atualizar
cff-pvl-apl2;10.141.0.37;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-apr1;10.132.129.29;11 (Bullseye)
;
;2026-09-04;NAO
furg-hvl-pg1;10.132.128.61;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-pg1;10.132.128.19;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-prt1;10.132.129.18;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-pg2;10.132.129.6;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-pg3;172.17.85.120;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-apl1;10.132.129.14;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-apl2;10.132.129.4;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-apl3;10.132.129.10;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-prx1;10.132.128.13;11 (Bullseye)
;
;2026-09-04;NAO
furg-pvl-dck1;10.132.129.13;11 (Bullseye)
;
;2026-09-04;NAO
huse-hvl-pg1;10.62.0.45;11 (Bullseye)
;
;2026-09-04;NAO
huse-ivl-apl1;10.62.0.42;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-apr1;10.62.0.157;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-prt1;10.62.0.46;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-prx1;10.62.0.250;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-pg3;172.17.84.23;11 (Bullseye)
;
;2026-09-04;NAO
hugg-pvl-dck1;10.62.0.202;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-pg1;10.62.0.105;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-pg2;10.62.0.154;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-apl1;10.62.0.106;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-apl2;10.62.0.151;11 (Bullseye)
;
;2026-09-04;NAO
huse-pvl-apl3;10.62.0.152;11 (Bullseye)
;
;2026-09-04;NAO
hugv-hvl-pg1;10.53.2.214;11 (Bullseye)
;
;2026-09-04;NAO
hugv-hvl-apl1;10.53.2.210;11 (Bullseye)
;
;2026-09-04;NAO
hugv-ivl-apl2;10.53.2.211;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-apr1;10.53.2.200;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-prt1;10.53.2.203;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-dck1;10.53.2.154;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-pg3;172.17.84.24;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-pg1;10.53.2.212;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-pg2;10.53.2.213;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-prx1;10.53.2.12;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-apl1;10.53.2.206;11 (Bullseye)
;
;2026-09-04;NAO
hugv-pvl-apl2;10.53.2.207;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-prt1;10.206.235.15;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-apr1;10.206.235.6;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-pg1;10.206.235.7;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-pg2;10.206.235.11;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-pg3;172.17.85.181;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-apl1;10.206.235.19;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-apl2;10.206.235.8;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-apl3;10.206.235.16;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-prx1;10.206.235.5;11 (Bullseye)
;
;2026-09-04;NAO
jbb-pvl-dck1;10.206.235.18;13 (Trixie)
;
;2026-09-04;NAO
hujb-hvl-pg1;10.66.1.12;11 (Bullseye)
;
;2026-09-04;NAO
hujb-hvl-apl1;10.66.1.10;11 (Bullseye)
;
;2026-09-04;NAO
hujb-ivl-apl1;10.66.1.11;11 (Bullseye)
;
;2026-09-04;NAO
hujb-pvl-postgresql3;172.17.84.25;11 (Bullseye)
;
;2026-09-04;NAO
hujb-pvl-pg1;10.66.1.6;11 (Bullseye)
;
;2026-09-04;NAO
hujb-pvl-apl1;10.66.1.13;11 (Bullseye)
;
;2026-09-04;NAO
hujb-pvl-apl2;10.66.1.14;11 (Bullseye)
;
;2026-09-04;NAO
hujb-pvl-apl3;10.66.1.19;11 (Bullseye)
;
;2026-09-04;NAO
hujm-hvl-apl1;10.24.17.112;11 (Bullseye)
;
;2026-09-04;NAO
hujm-ivl-apl1;10.24.17.140;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-apr1;10.24.17.120;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-prt1;10.24.17.119;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-dck1;10.24.18.200;13 (Trixie)
;
;2026-09-04;NAO
hujm-pvl-pg1;10.24.17.121;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-pg2;10.24.17.206;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-pac1;10.24.18.114;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-pg3;172.17.84.27;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-prx1;10.24.17.132;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-apl1;10.24.17.129;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-apl2;10.24.17.130;11 (Bullseye)
;
;2026-09-04;NAO
hujm-pvl-apl3;10.24.17.207;11 (Bullseye)
;
;2026-09-04;NAO
hulw-hvl-11apl1;172.17.85.152;11 (Bullseye)
;
;2026-09-04;NAO
hulw-tvl-11apl2;172.17.85.173;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-apr1;10.40.2.40;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-prt1;10.40.2.39;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-dck1;10.40.2.231;13 (Trixie)
;
;2026-09-04;NAO
hulw-pvl-pg4;10.40.2.38;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-pg5;10.40.2.191;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-prx1;10.40.2.69;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-apl1;10.40.2.50;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-apl2;10.40.2.51;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-pg6;172.17.84.28;11 (Bullseye)
;
;2026-09-04;NAO
hulw-pvl-apl3;10.40.2.192;11 (Bullseye)
;
;2026-09-04;NAO
huol-hvl-pg1;10.26.1.234;11 (Bullseye)
;
;2026-09-04;NAO
huol-hvl-apl1;10.26.1.130;11 (Bullseye)
;
;2026-09-04;NAO
huol-ivl-apl1;10.26.1.228;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-apr1;10.26.1.230;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-prt1;10.26.2.110;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-pg1;10.26.1.231;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-pg2;10.26.1.237;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-apl1;10.26.1.131;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-apl2;10.26.1.132;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-apl3;10.26.1.133;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-prx1;10.26.0.136;11 (Bullseye)
;
;2026-09-04;NAO
huol-pvl-dck1;10.26.2.114;13 (Trixie)
;
;2026-09-04;NAO
huol-pvl-lec1;10.26.2.107;11 (Bullseye)
;
;2026-09-04;NAO
paa-hvl-pg1;10.46.0.79;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-apr1;10.46.0.101;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-prt1;10.46.0.173;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-dck1;10.46.0.174;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-pg1;10.46.0.73;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-pg2;10.46.0.84;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-pg3;172.17.84.30;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-prx1;10.46.0.99;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-apl1;10.46.0.104;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-apl2;10.46.0.105;11 (Bullseye)
;
;2026-09-04;NAO
paa-pvl-apl3;10.46.0.108;11 (Bullseye)
;
;2026-09-04;NAO
pes-hvl-apl1;10.14.0.74;11 (Bullseye)
;
;2026-09-04;NAO
pes-hvl-pg1;10.14.0.52;11 (Bullseye)
;
;2026-09-04;NAO
pes-ivl-apl1;10.14.0.55;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-apr1;10.14.0.81;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-prt1;10.14.0.151;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-pg1;10.14.0.80;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-pg3;172.17.84.31;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-pg2;10.14.0.88;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-prx1;10.14.0.110;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-dck1;10.14.0.152;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-apl1;10.14.0.100;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-apl3;10.14.0.86;11 (Bullseye)
;
;2026-09-04;NAO
pes-pvl-apl2;10.14.0.99;11 (Bullseye)
;
;2026-09-04;NAO
pest-hvl-pg1;10.94.61.162;11 (Bullseye)
;
;2026-09-04;NAO
pest-hvl-apl1;10.94.61.160;11 (Bullseye)
;
;2026-09-04;NAO
pest-ivl-apl1;10.94.61.161;11 (Bullseye)
;
;2026-09-04;NAO
pest-pvl-apr1;10.94.61.155;11 (Bullseye)
;
;2026-09-04;NAO
pest-pvl-pg3;172.17.84.55;11 (Bullseye)
;
;2026-09-04;NAO
pest-pvl-pg1;10.94.61.156;11 (Bullseye)
;
;2026-09-04;NAO
pest-pvl-pg2;10.94.61.158;11 (Bullseye)
;
;2026-09-04;NAO
pest-pvl-apl1;10.94.61.154;11 (Bullseye)
;
;2026-09-04;NAO
pest-pvl-apl2;10.94.61.9;11 (Bullseye)
;
;2026-09-04;NAO
pest-pvl-apl3;10.94.61.159;11 (Bullseye)
;
;2026-09-04;NAO
husm-hvl-pg1;10.60.1.21;11 (Bullseye)
;
;2026-09-04;NAO
husm-hvl-apl1;10.60.1.15;11 (Bullseye)
;
;2026-09-04;NAO
husm-ivl-apl1;10.60.1.20;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-apr1;10.60.1.9;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-prt1;10.60.1.57;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-pg1;10.60.1.14;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-pg2;10.60.1.27;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-pg3;172.17.84.44;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-apl1;10.60.1.24;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-apl2;10.60.1.25;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-apl3;10.60.1.13;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-prx1;10.60.1.12;11 (Bullseye)
;
;2026-09-04;NAO
husm-pvl-dck1;10.60.1.58;11 (Bullseye)
;
;2026-09-04;NAO
husm-hvl-pg1;10.60.1.21;11 (Bullseye)
;
